单词,美音,definition,简明释义,精选短语
unit,/ ˈjuːnɪt /,single thing or person; a part of something larger,n. 单位；一件（商品）,per unit: 每单位 | control unit: 控制器，控制部件 | basic unit: 基本单元
card,/ kɑːrd /,small piece of paper or plastic used as i.d.,n. 银行卡，身份证；明信片，贺卡 v. 要求出示身份证；亮牌 其他 【名】 （Card）（英）卡德（人名）,business card: 名片；商务名片 | credit card: 信用卡；记帐卡 | ic card: 智能卡
hospital,/ ˈhɑːspɪt(ə)l /,"building for sick people, with doctors and nurses",n. 医院；青年教育慈善机构 其他 【名】 （Hospital）（英）霍斯皮特尔（人名）,in hospital: 住院 | in the hospital: 在医院里 | general hospital: 总医院；综合医院
quickly,/ ˈkwɪkli /,without taking a lot of time; fast,adv. 快速地；很快，马上,as quickly as possible: 尽快
interview,/ ˈɪntərvjuː /,to formally ask questions about a given topic,v. 面试，面谈；采访，访问 n. 面试，面谈；采访，访谈,job interview: 求职面试 | telephone interview: 电话面试，电话访问 | personal interview: 个人面谈；面谈调查；私人的会谈
agreement,/ əˈɡriːmənt /,when you share the same opinion or reach a decision,n. 协议，协定，契约；共识,agreement with: 同…达成协议 | agreement on: 一致意见 | in agreement: 一致；同意；意见一致
release,/ rɪˈliːs /,"to allow to leave jail, cage, prison, etc.",v. 释放，放走；放开，松开 n. 释放，获释；排放，泄漏,release rate: 释放率；释放速度 | controlled release: 控释；长效 | press release: 新闻稿；通讯稿
tax,/ tæks /,money taken by a government from its people,n. 税款；负担，重负 v. 对……征税；缴纳车辆牌照税 其他 【名】 （Tax）（美、荷、奥、印、俄、德）塔克斯（人名）,income tax: 所得税 | tax system: 税制，课税制度 | tax revenue: 税收；赋税收入
solution,/ səˈluːʃ(ə)n /,something that ends a problem,n. （问题、困难等的）解决办法；（练习或竞赛的）解答，答案,aqueous solution: 水溶液 | optimal solution: 最优解，最佳解 | in solution: 在不断变化中；动摇不定；在溶解状态中
capital,/ ˈkæpɪt(ə)l /,"main, or major",n. 资本，资金；资本家，资方 adj. 可处死刑的；大写的 其他 【名】 （Capital）（法）卡皮塔尔（人名）,capital market: 资本市场 | foreign capital: 外国资本，外资 | human capital: 人力资本，技能资本
popular,/ ˈpɑːpjələr /,liked or enjoyed by many people,adj. 受大众喜爱的，受欢迎的；（想法、情绪或态度）普遍的,most popular: 最受欢迎；最流行 | popular with: 受…欢迎；有好评 | popular among: 受…欢迎
specific,/ spəˈsɪfɪk /,special or particular; clearly presented or stated,adj. 明确的，具体的；特定的 n. 细节，详情；特效药,specific surface: 比表面；比表面积；表面系数 | specific surface area: 比表面积 | specific gravity: 比重
beautiful,/ ˈbjuːtɪf(ə)l /,having very attractive or appealing physical qualities,adj. 美丽的，漂亮的；令人愉悦的，美妙的,so beautiful: 如此美丽；如此漂亮 | beautiful girl: 美丽姑娘 | beautiful woman: 美人；漂亮的女人
fear,/ fɪr /,unpleasant feelings caused by being aware of danger,v. 害怕，畏惧；担心，忧虑 n. 恐惧；担心,for fear: 以免，唯恐；由于害怕 | for fear of: 为了避免，唯恐 | in fear: 害怕
aim,/ eɪm /,act of pointing something at a target,n. 目标，目的；瞄准，对准 v. 瞄准，对准；旨在，致力于,aim of: 旨在；瞄准；致力于… | aim at: v. 针对；瞄准；目的在于 | aim for: 瞄准；以…为目标
television,/ ˈtelɪvɪʒ(ə)n /,"device that broadcasts programs, movies, or show",n. 电视，电视机；电视业,network television: 网络电视 | cable television: 电缆电视，有线电视 | television station: 电视台
serious,/ ˈsɪriəs /,needing thought or concentration; important; in a sober manner,adj. 严重的，危急的；认真的，严肃的,serious about: 严肃；认真对待 | serious damage: 严重损害；严重损坏 | serious illness: 重大疾病
target,/ ˈtɑːrɡɪt /,a goal or amount you are trying to achieve,n. 目标，指标；（攻击的）目标 v. 把……作为攻击目标，把……作为批评的对象；面向，把……对准（某群体）,on target: 到达目标上空；正追踪目标；切题，切中要害 | target market: [经]目标市场 | target language: 目的语；目标语言；译入语
degree,/ dɪˈɡriː /,unit for measuring temperature or angles,n. 度，度数（温度单位）；（角的）度，度数,degree of: …的程度；…的学位 | high degree: 高度；高地位 | bachelor degree: 学士学位；大学本科学位证书
pull,/ pʊl /,to hold something and move it toward you,v. 拉，拽；拖动，移走 n. 拉，拽；力，引力 其他 【名】  （Pull）（法）皮尔，（德、瑞典）普尔 （人名）,pull out: 离开，撤离；拔出；渡过难关；恢复健康；折叠的大张插页；飞机进场重新飞起 | pull something on someone: 在…方面欺骗某人 | pull down: 摧毁，推翻；拉下来；使……下跌
red,/ red /,being the color of blood,adj. 红的，红色的；（毛发）红褐色的 n. 红色，红颜料；红衣 v. 整理（同 redd） n. （Red）雷德（人名）,in the red: 负债，亏损；赤字 | in red: 穿红衣 | red wine: 红葡萄酒
husband,/ ˈhʌzbənd /,married man,n. 丈夫 v. 节约使用 其他 【名】 （Husband）（英、美、爱）赫斯本德（人名）,husband and wife: 夫妻
access,/ ˈækses /,an entrance to a place; a way in,n. 入口，通道；获得的机会，使用权 v. 接近，进入；获取，访问（计算机信息） adj. <美>（电视节目或时间等）对外公开的,access control: 访问控制 | have access to: 使用；接近；可以利用 | internet access: 互联网接入
movement,/ ˈmuːvmənt /,part of a piece of music,n. 移动，转移；（具有共同思想或目标的）运动,
treat,/ triːt /,to act in a certain way toward someone,v. 对待，看待；治疗，医治 n. （不同一般的）乐事，享受；款待，招待 其他 【名】 （Treat）特里特（人名）,
identify,/ aɪˈdentɪfaɪ /,to indicate who or what someone or something is,v. 认出，识别；查明，确认,identify oneself: 证明自己(的身份) | identify with: 认为…等同于，与一致
loss,/ lɔːs /,experience or state of failing to have or keep,n. 失去，丧失；亏损 其他 【名】 （Loss）（匈）洛什，（法、德、意）洛斯（人名）,weight loss: 失重；重量减轻 | at a loss: 亏本地；困惑不解 | water loss: 失水量；水耗
shall,/ ʃæl; ʃəl /,"expressing the future tense, to expect to happen",aux. 将要，将会（同I和we连用，表示将来）； ……好吗？要不要……？（用于主动提供帮助、建议或询问意见）,shall we: 我们…好吗 | what shall i do: 我该怎么办 | shall we dance: 我们跳舞吧
modern,/ ˈmɑːdərn /,of the present time; up to date; contemporary,adj. 近代的，现代的；当代风格的，现代派的 n. 现代人；现代派艺术家,modern society: 现代社会 | modern chinese: 现代汉语 | modern science: 现代科学；近代科学
pressure,/ ˈpreʃər /,force/weight when pressing against a thing,n. 压力，挤压；（气体或液体形成的）压力，压强 v. 对……施加压力，强迫；使……增压,under pressure: 面临压力，在压力之下；受到压力 | high pressure: 高压，高气压；高度紧张 | blood pressure: n. 血压
bus,/ bʌs /,a large road vehicle used for carrying many people,n. 公共汽车 vt. 乘公共汽车,by bus: 搭乘公共汽车 | bus stop: 公共汽车站 | bus station: n. 公交车站
treatment,/ ˈtriːtmənt /,way someone acts toward another,n. 对待，待遇；处理，讨论,heat treatment: 热处理 | water treatment: 水处理；水的处理 | wastewater treatment: 污水处理
conference,/ ˈkɑːnfərəns /,an event where people exchange ideas,n. （大型、正式的）会议，研讨会；（小型正式的）商讨，讨论,press conference: 记者招待会，新闻发布会 | news conference: 记者招待会 | international conference: 国际会议
yourself,/ jɔːrˈself /,"reflexive form of 'you', used for an emphasis",pron. 你自己,for yourself: 为你自己 | by yourself: 独自地，单独地 | do it yourself: 自己动手干
supply,/ səˈplaɪ /,to give or sell goods to others for their use,n. 供给量，储备；（商品、服务的）供应量 v. 供应，提供，供给；补充，填充,power supply: 电源；电源供应器 | supply chain: 供应链；供给链；供需链 | water supply: 供水系统；水源
village,/ ˈvɪlɪdʒ /,small town in the country,n. 乡村，村庄；在乡村的，乡村的,in the village: 在村里 | small village: 小村 | olympic village: n. 奥运村；奥林匹克村
worth,/ wɜːrθ /,how much something is worth; the value of something,adj. 价值……的，值……钱的；值得的，具有……价值的 n. 价格，价值；重要性，作用 prep. 价值……；值得 其他 【名】 （Worth）沃特（人名）,well worth: 很值得 | worth doing: 值得做；物有所值 | worth while: 值得
natural,/ ˈnætʃ(ə)rəl /,not made by humans; without human intervention,adj. 天然的，非人为的；合理的，意料之中的 n. 有天赋的人；适合人选 其他 【名】 （Natural）（西）纳图拉尔（人名）,natural gas: 天然气 | natural environment: 自然环境 | natural science: 自然科学
express,/ ɪkˈspres /,to state or show what you think or how you feel,v. 表达，表露；表现，体现 n. 快车；快递 adj. 快递的，特快的；明确的 adv. 用快递寄送,express oneself: 表达自己的思想 | express delivery: 快递，限时专送 | express way: 高速公路；快车道
indicate,/ ˈɪndɪkeɪt /,"to show something, direct attention to, or point out",v. 表明，标示；象征，暗示,
attend,/ əˈtend /,to be present at an event,v. 随同，陪同；经常去，定期去(学校、教堂等),attend a meeting: 参加会议 | attend school: 上学；去上学 | attend class: 上课
brother,/ ˈbrʌðər /,a boy or man who shares a parent with you,n. 兄弟；同事 int. 我的老兄！ n. （Brother）人名；（英）布拉泽,elder brother: 哥哥，兄长 | younger brother: 弟弟 | little brother: 小兄弟；副气旋
investment,/ ɪnˈvestmənt /,something purchased hoping its value will increase,n. 投资；值得买的东西,investment in: 对……的投资；在……方面投资 | foreign investment: 国外投资 | direct investment: [经]直接投资
score,/ skɔːr /,to get points in a sport such as kicking a ball into a goal,n. （游戏或比赛中的）得分，比分；（测验的）评分，分数 v. （在运动、比赛或考试中）得（分）；评分，打分数 其他 【名】  （Score）（英）斯科尔（人名）,total score: 总分数 | score for: 为（某队）进球/得分；为…得分；把…改写成器乐曲 | score card: 记分卡
organize,/ ˈɔːrɡənaɪz /,"to arrange and plan things (e.g., a party)",v. 组织，筹备；设法提供,
trip,/ trɪp /,journey or visit to a place,n. （尤指短程往返的）旅行，旅游；出门，出行 v. 绊，绊倒；脚步轻快地走（或跑、跳舞） 其他 【名】 （Trip）（美）特里普（人名）,on a trip: 在旅途中 | business trip: 公务旅行，出差；商务旅行 | round trip: 往返旅行；环程旅行；[牌]大团圆
beyond,/ bɪˈjɑːnd /,on or to the farther side; in addition to,prep. 在（或向）……较远的一边；晚于，迟于 adv. 在另一边，在（或向）更远处；（延续）到……之后 n. 来生，再世（the beyond）；远处的事物（the beyond）,beyond oneself: 精神错乱；忘形 | go beyond: v. 超出；胜过 | the back of beyond: [主英国口语]极远的地方；天涯海角；穷乡僻壤，僻远的地区，极偏僻的地方，内地(尤指澳大利亚内陆的荒野地带)
sleep,/ sliːp /,"to rest your body in bed, as at night time","v. 睡，睡觉；供……住宿 n. 睡眠，睡觉；（一段）	睡眠时间 其他 【名】 （Sleep）斯利普（姓氏）",go to sleep: 入睡 | sleep with someone: 与某人同眠共枕；与某人发生性关系 | sleep in: 睡过头；迟起床
fish,/ fɪʃ /,animal that swims and lives in the sea,n. 鱼；鱼肉 v. 钓鱼，捕鱼；搜寻 其他 【名】 （Fish）（美、爱）菲施（人名）,big fish: 大鱼；重要人物 | fish for: 摸索；寻找 | fish oil: 鱼油，鱼肝油
promise,/ ˈprɑːmɪs /,to say you will certainly do something,v. 承诺，保证；使很可能，预示 n. 承诺，诺言；前途，指望,promise oneself: 指望 | keep promise: 守信 | show promise: 有成功的希望
potential,/ pəˈtenʃ(ə)l /,capable of happening or becoming reality,adj. 潜在的，可能的 n. （事物的）潜力，可能性；（人的）潜能，潜力,market potential: [经]市场潜力；市场潜在需求量 | potential energy: 势能 | development potential: 发展潜力；发展前景
energy,/ ˈenərdʒi /,physical or mental strength,n. 能力，力气；精力，活力,energy consumption: [化]能量损耗 | energy saving: 节能，能源节省 | energy conservation: 能量守恒；能源节约
trouble,/ ˈtrʌb(ə)l /,state of difficulty or stress,n. 困难，难题，苦恼；险境，困境 v. 使忧虑，苦恼；费神，费力,in trouble: 在监禁中；处于不幸中；处困难中 | get into trouble: 使自己或他人陷入困扰之境 | have trouble: v. 在...有困难
relation,/ rɪˈleɪʃn /,"manner in which people, groups, or countries behave toward one another",n. （人或物间的）联系；（国家、公司、组织等之间的）（正式）关系,in relation to: 关于；涉及 | public relation: 公共关系 | direct relation: 直接联系
touch,/ tʌtʃ /,"to feel an object with your fingers, etc.",v. 触摸，碰；接触，触及 n. 触觉，触感；触摸，碰 其他 【名】 （Touch）（柬）杜（人名）,in touch: 联系；能达到的；在…的附近 | in touch with: 同……有联系，和……有接触 | keep in touch: 保持联络
file,/ faɪl /,"to submit documents to an authority (e.g., city hall)",n. 文件夹（或箱、柜等）；（计算机的）文档 v. （把文件等）归档，存档；提起（诉讼），提出（申请） 其他 【名】 （File）（匈、塞）菲莱（人名）,file in: 陆续编入；编入档内 | on file: 存档；记录下来备查 | file system: [计]文件系统
middle,/ ˈmɪd(ə)l /,place that is halfway between two things,adj. 中间的，中等的；折中的，中庸之道的 n. 中间，中部，中等；腰部 v. （板球、网球等中）用球棒（或拍）中部击（球）,in the middle: 在中间；在中部 | in the middle of: 在…中间 | middle school: n. 中学
bar,/ bɑːr /,"to prevent entry, exit, or an action",n. 酒吧；吧台 v. 封，堵；阻挡，拦住 prep. 除……外 其他 【名】 （Bar）（德、法、俄、罗、捷、波、葡、以、阿拉伯）巴尔（人名）,at the bar: 在酒吧；受到公开审问 | bar code: 条形码；电脑条码 | steel bar: 钢筋；棒材；型钢；条钢
suffer,/ ˈsʌfər /,"to experience pain, illness, or injury",v. （因疾病、痛苦、悲伤等）受苦，受折磨；经受，遭受（坏事）,suffer from: 忍受，遭受；患…病；受…之苦 | suffer for: 因…而遭受 | suffer loss: 遭受损失
strategy,/ ˈstrætədʒi /,careful plan or method for achieving a goal,n. （尤指为获得某物制定长期的）策略，行动计划；战略，战略学,development strategy: 发展战略 | control strategy: 控制策略 | marketing strategy: 行销策略；市场战略
deep,/ diːp /,going far down from the surface,adj. 深的，厚的；纵深的，宽的 adv. 深深地，至深处；有……深 n. <文>海洋（the deep）；海洋深处（deeps） 其他 【名】 （Deep）迪普（人名）,in deep: —深陷其中，深深卷入(尤指麻烦) | deep in: 深陷(于)，专心致力(于)，埋头(于)；沉湎于…中，全神贯注的 | deep water: 深层水，深水
except,/ ɪkˈsept /,not including; other than,prep. 除……外，不包括 conj. 除了，只是；要不是 v. 不包括，把……排除在外,except for: 除了…以外；要不是由于 | except as: 除…之外
clean,/ kliːn /,being free from dirt or marks because it was washed,adj. 洁净的，干净的；讲卫生的，爱干净的 v. （使）清洁，清理；变干净 n. 清洁，清扫，打扫 adv. 彻底地，完全地；干净地，纯洁地 其他 【名】 （Clean）（英）克林（人名）,clean up: 清理；大捞一笔 | clean water: 清洁（饮）水 | clean energy: 清洁能源
tend,/ tend /,to regularly behave in a certain way,v. 倾向于，往往会；照顾，护理,tend to be: 倾向于；趋向于 | tend towards: 走向；趋向；有助于；造成 | tend to do: 倾向于做某事
advance,/ ədˈvæns /,to move forward in a certain direction,v. （使）前进，（使）向前移动；发展，进步 n. 前进；进步，进展 adj. 预先的，事先的；先行的，先遣的,in advance: adv. 预先，提前 | in advance of: 超过；在…前面 | advance in: 进步；改进
fill,/ fɪl /,to make something full,v. （使）充满，占满；堵塞，填补 n. 总量，（某人的）需求总量；填充物，填方，填土 其他 【名】 （Fill）（德、俄、匈）菲尔（人名）,fill in: 填写；填充；替代 | fill out: 填写；变丰满，变大 | fill up: 填补；装满；堵塞
star,/ stɑːr /,a bright planet of gas in the night sky,n. 星，恒星；演艺界明星，体坛名将 v. 主演，使主演；给……加上星号 adj. 最好的，最出色的 其他 【名】 （Star）（瑞典）斯塔尔，（德）施塔尔（人名）,movie star: 电影明星 | film star: n. 电影明星 | pop star: 歌星；流行歌手
network,/ ˈnetwɜːrk /,system of connections,n. 网络，网状系统；人际关系网，联络网 v. 使（计算机）联网；（尤指工作中）建立关系网，建立人脉,neural network: 神经网络 | computer network: 计算机网络 | network environment: 网络环境
generally,/ ˈdʒen(ə)rəli /,"usually; as a rule; by, to, or for most people",adv. 笼统地，大概；通常，普遍地,generally speaking: adv. 一般而言 | generally accepted accounting principles: 公认会计原则
operation,/ ˌɑːpəˈreɪʃ(ə)n /,functioning; use,n. 运作，实施；运转，操作,and operation: 与操作 | in operation: 生效；运转着 | normal operation: 正常运行，常规操作
match,/ mætʃ /,a sports competition between two people or teams,n. 比赛，竞赛；火柴 v. 比得上，敌得过；使成对，使相配，使相称,football match: 足球赛；足球比赛 | match with: 使和……相匹配 | well matched: 相称，相配
avoid,/ əˈvɔɪd /,"to prevent from happening, or stay away from",v. 避免，防止；回避，避开,avoid doing: 避免做某事；逃避…
seat,/ siːt /,something on which a person can sit,n. 座位；（椅子等的）座部 v. 使坐下，使就座；容纳，坐得下,back seat: 后座 | seat belt: 安全带 | valve seat: 阀座，气门座
throw,/ θroʊ /,to use your arm to make a thing fly through the air,v. 投，掷，抛，扔；掷（色子），掷出（色子的点数） n. 投，掷；投射距离,throw away: 扔掉，丢弃 | throw out: v. 扔掉；伸出；说出；否决；突出 | throw in: 扔进；边线发球，掷界外球
task,/ tæsk /,big or small piece of work someone has to do,n. （尤指困难的或必须定期做的）工作，任务；（尤指语言教学中旨在帮助达到某一学习目的的）活动 v. 派给……任务；对（手段，能力）要求极高，考验,main task: 主任务 | task force: 特遣部队；特别小组 | task group: n. [军]特遣部队；工作组
normal,/ ˈnɔːrm(ə)l /,standard or regular way of doing something,adj. 正常的，标准的；（身心）健康的，（人）普通的 n. 常态，通常标准；<非正式>正常人，循规蹈矩者 其他 【名】 （Normal）（德）诺马尔（人名）,normal university: 师范大学 | normal operation: 正常运行，常规操作 | normal temperature: 正常体温；标准温度
goal,/ ɡoʊl /,something you try to do or achieve; an aim,n. 球门；进球得分 v. 射门，射门得分,ultimate goal: 最终目标；终极目标 | strategic goal: 战略目标 | common goal: 共同目标
associate,/ əˈsoʊsieɪt; əˈsoʊʃieɪt /,"partner in professional work (e.g., in law)",v. 联想，联系；支持，同意 n. 同事，伙伴；副学士，准学士 adj. 副的，准的，非正式的；联合的，有关连的,associate professor: 副教授 | associate with: v. 联合；与…联系在一起；和…来往 | associate degree: n. 美国大学修满二年课程的肄业证书
blue,/ bluː /,color of the clear sky,adj. 蓝色的；忧郁的，沮丧的 n. 天蓝色，蓝色；天空，大海 v. （使）变成蓝色；<史>用蓝色漂白剂洗（白色衣服） 其他 【名】 （Blue）（英、美、加、澳、新）布卢（人名）,blue sky: 蓝天 | out of the blue: 突然地；意外地 | dark blue: 深蓝色，深蓝的
positive,/ ˈpɑːzətɪv /,"good or useful in qualities, constructive, confident",adj. 乐观的，有信心的；积极的，建设性的 n. 优势，优点；阳性结果,positive effect: 积极的效果；明显效果 | positive and negative: 正反；肯定和否定 | positive attitude: 积极态度
option,/ ˈɑːpʃ(ə)n /,possibility out of several that can be chosen; choice,n. 可选择的事物；选择，选择权 v. 买卖（某物的）期权,stock option: 职工优先认股权 | put option: 出售选择权；卖出选择权；卖出期权 | call option: 看涨期权；购买选择权
box,/ bɑːks /,a container with (usually) four straight sides and a lid,n. 盒，箱，匣；（戏院的）包厢，（法庭的）专席 v. 把……装箱；（与……）斗拳，参加拳击比赛 其他 【名】 （Box）（英、法、西）博克斯（人名）,dialog box: [计]对话框，对话窗口 | in the box: 在盒子里；在方框中 | box girder: n. [建]箱形梁
huge,/ hjuːdʒ /,very very large,adj. 庞大的，极大的；<非正式>很受欢迎的，著名的 其他 【名】 （Huge）（英）休奇（人名）,huge amounts of: 大量的 | huge system: 巨系统 | sudden huge profits: 暴利
message,/ ˈmesɪdʒ /,piece of information that is told/given to someone,n. 口信，消息；（书籍、演讲等的）要旨，主题思想 v. （尤指以电子形式）传送（信息）；通报,your message: 您的消息 | short message: 短讯；短报文 | message from: 来自…的消息
instance,/ ˈɪnstəns /,an example of something; case,n. 例子，实例 v. 举……为例,for instance: 例如 | instance of: （类的）实例；（某类别的） 实体 | in the first instance: 首先；起初；在初审时
style,/ staɪl /,the particular way something is done or made,n. 方式，作风；款式，样式 v. 设计，给……造型；称呼，命名 其他 【名】 （Style）（英）斯泰尔（人名）,in style: 流行；时髦地 | life style: 生活方式，生活习惯；格调 | new style: n. 新历
refer,/ rɪˈfɜːr /,to talk about or write about something,v. 提到，谈及（refer to）；描述，涉及（refer to）,refer to as: 把…称作… | refer a friend: 介绍朋友；引见朋友
cold,/ koʊld /,having a very low temperature,adj. 冷的，凉的；冷淡的，冷漠的 n. 感冒，伤风；寒冷，低温 adv. 突然地，彻底地；毫无准备地,in the cold: 被忽视，被冷落， 孤零零地未介入 | catch a cold: 感冒 | cold water: 冷水；凉水；凉开水
push,/ pʊʃ /,to force something away from you,v. 推，移动；按 n. 推 ；按,push oneself: 鞭策自己；发愤；自强；加劲 | push forward: 推进；抓紧进行 | push for: 奋力争取
quarter,/ ˈkwɔːrtər /,one of four equal parts of something,n. 四分之一；一刻钟，十五分钟 v. 将……四等分；把……降至原先的四分之一 adj. 四分之一的,first quarter: 第一个季度；上弦月；上弦 | fourth quarter: 第四季度；第四节 | a quarter of: 四分之一的；四分之一
assume,/ əˈsuːm /,"to believe, based on the evidence; suppose",v. 假定，假设，认为；装出，做出,assume responsibility: 承担责任 | assume liability: 承担责任 | subjective assume: 主观臆断
baby,/ ˈbeɪbi /,"very young child, who cannot yet speak",n. 婴儿，婴孩；动物幼崽 v. 把……当婴儿般对待，对……娇生惯养；小心翼翼地操作，小心对待 adj. （蔬菜）幼嫩的；（幼）小的，小型的,baby girl: 女婴；小女孩 | have a baby: 生孩子 | baby boy: 男婴；小男孩
successful,/ səkˈsesf(ə)l /,having the desired effect or result,adj. 成功的，如愿以偿的；事业有成的，飞黄腾达的,successful in: 在…成功的 | successful person: 成功的人 | successful marriage: 成功的婚姻
sing,/ sɪŋ /,to make musical sounds with your voice,v. 唱（歌），演唱；鸣，啼 n. <非正式> 唱歌，演唱；<美，非正式> 业余演唱会 abbr. 单数（singular 的缩写形式） 其他 【名】 （Sing）（老、德、泰）辛（人名）,sing a song: 唱一首歌，唱支歌 | sing out: 大声喊出；向法院或警方自供 | sing on: 唱下去
doubt,/ daʊt /,not being sure of something; lack of certainty,v. 怀疑，不确定；不信任 n. 怀疑，不确定,no doubt: adv. 无疑地；很可能地 | in doubt: 可怀疑的；不能肯定的 | there is no doubt: 毫无疑问
competition,/ ˌkɑːmpəˈtɪʃ(ə)n /,fighting against others when trying to win something,n. 竞争；比赛，竞赛,market competition: 市场竞争 | fierce competition: 激烈的竞争 | intense competition: 激烈的竞争
theory,/ ˈθiːəri /,idea or set of ideas that try to explain facts or events,n. 学说，理论；（某一学科基于的）理论，原理,in theory: 理论上 | basic theory: 基本理论 | control theory: 控制理论，控制论
propose,/ prəˈpoʊz /,to offer or put forward an idea for consideration,v. 提议，建议；提出（理论或解释）,propose to someone: 向某人求婚 | propose a toast: 敬酒；举杯 | propose someone for: 推荐某人(参加某组织)；提名某人(任某职)
reference,/ ˈrefrəns /,to cite a piece of research in speech or in writing,n. 提及，谈到；参考，查阅 adj. 参考的，用于查阅的；文献索引的，参照的 v. 列出……的参考书目；提及，提到,for reference: 以供参考；备案 | with reference to: 关于（等于in reference to） | reference value: 参考值；标准值；参照值
argument,/ ˈɑːrɡjumənt /,a discussion in which you disagree with another's opinion,n. 争论，争吵；论据，理由,argument list: 变元表 | same argument: 同理 | template argument: 模板实参；范本自变量；模板参数
adult,/ əˈdʌlt; ˈædʌlt /,person or animal that is fully grown,n. 成年人或动物 adj. 成年的，发育成熟的；成人的，理智的 v. <非正式>像成年人一样表现；<非正式>变成熟,adult education: 成人教育 | young adult: 年轻人；大学生 | adult population: 成年人口
fly,/ flaɪ /,to travel through the air using wings,v. 飞，飞行；乘飞机，搭乘（某公司航班） n. 苍蝇，假蝇；裤门襟 adj. <非正式>时髦漂亮的；<英>机灵的 其他 【名】 （Fly）（英）弗莱，（法）弗利（人名）,fly ash: 粉煤灰；飞灰 | on the fly: 在飞行中；忙忙碌碌 | fly in: 降落；乘飞机旅行
document,/ ˈdɑːkjumənt /,official (printed) record that gives information,n. 文件，公文，文献；证件，单据 v. 记录，记载（详情）,document management: 文件管理；资料管理 | document retrieval: [计]文档检索 | official document: 官方文件，公文
pattern,/ ˈpætərn /,regular repeated behavior,n. 模式，方式；图案，花样 v. 用图案装饰，给……加上花样；仿照，模仿,pattern recognition: 模式识别 | growth pattern: 生长模型；生长模式 | flow pattern: 流型，流动型态；活动模；流线谱
application,/ ˌæplɪˈkeɪʃ(ə)n /,"formal request for a job, building permission, etc.",n. 正式申请，书面申请；申请书，申请表,practical application: 实际应用 | application for: 申请 | clinical application: 临床应用
hot,/ hɑːt /,having a high temperature,adj. 热的，高温的；（使人）感到热的 v. <西印度>使热，变热（hot up）；变得激烈（hot up） adv. 热；热切地，紧迫地 其他 【名】 （Hot）（塞）霍特，（法）奥特（人名）,hot and cold: 冷热水；热的和冷的 | hot topic: 热门话题；新锐 | hot spot: [生化]热点；过热点；潜在的危险地区
obviously,/ ˈɑːbviəsli /,in a way that is obvious/easy to see or understand,adv. （用于强调）显然，显而易见；明显地,
unclear,/ ˌʌnˈklɪr /,not easy to understand; not obvious,adj. 不清楚的；不易了解的,
bill,/ bɪl /,piece of paper showing what you have to pay,n. （商品、服务或餐馆的）账单；议案，法案 v. 开账单；把……宣传为,
search,/ sɜːrtʃ /,to carefully look for something,v. 搜查，搜寻；搜查（地方，车辆），搜……的身 n. 搜寻，搜查；探索，寻求 其他 【名】 （Search）（印、美）瑟奇（人名）,search for: v. 寻找；搜索 | in search of: 寻找；搜寻 | search engine: 搜索引擎
separate,/ ˈseprət /,"to divide into parts, or to make something divide into parts",adj. 单独的，分开的；不同的，不相关的 v. （使）分离；（把……）分成不同部分 n. 可搭配穿着的单件衣服（separates）；独立音响设备（separates）,separate from: 分离；把…和…分开 | separate out: 析出；分出 | separate ways: 分别，分道扬镳
central,/ ˈsentrəl /,being in the middle,adj. 中央的，中心的；起支配作用的，有控制力的 n. <美，非正式>活动中心,central committee: 中央委员会 | central bank: [经]中央银行 | central government: n. 中央政府
career,/ kəˈrɪr /,particular occupation in professional life,n. 职业，事业；职业生涯 adj. 就业的，职业的；终身从事的 v. 猛冲,career development: 职业发展，职业培训 | career planning: 生涯规划；职业规划；事业前途策划 | career opportunities: 就业机会，人事广告
anyway,/ ˈeniweɪ /,a word people use to change the topic of a conversation,adv. 不管怎样，无论如何；而且，加之,
speech,/ spiːtʃ /,expression of ideas or opinions,n. 演说，发言，谈话；说话的能力,speech recognition: 语音辨识 | freedom of speech: 言论自由 | speech signal: 语言信号，语音信号
dog,/ dɔːɡ /,small 4-legged animal that barks kept as a pet,n. 狗，犬；公狗，公狐，公狼 v. 困扰，纠缠；跟踪，尾随,let sleeping dogs lie: [口语]莫惹是非，别惹麻烦，不自找麻烦；别多事[亦作 don't wake a sleeping dog] | little dog: n. [天]小犬座（等于Canis Minor） | hot dog: 热狗（面包夹熏红肠）
officer,/ ˈɑːfɪsər /,person with an important position in an organization,n. 军官；（政府或大机构的）官员，高级职员 v. 配备军官；指挥 其他 【名】 （Officer）（英）奥菲瑟（人名）,police officer: n. 警官；警员 | executive officer: 主任参谋，执行官 | chief executive officer: 首席执行官；总裁
throughout,/ θruːˈaʊt /,"over or across an entire thing or place, or in every part of something",prep. 遍及，到处；自始至终，贯穿整个时期 adv. 遍及，到处；自始至终，贯穿整个时期,
oil,/ ɔɪl /,"thick, black liquid in the ground used as fuel",n. 燃油，润滑油；石油，原油 v. 加油于……，给……加润滑油；给（皮肤）涂油，抹油,oil and gas: 油和天然气；油和煤气 | oil field: 油田 | crude oil: [化]原油
dress,/ dres /,women's garment with a top part and a skirt,n. 连衣裙，套裙；（特定种类的）服装，衣服 v. 穿衣；给……穿衣服 其他 【名】 （Dress）（美、巴）德雷斯（人名）,dress oneself: 打扮；给自己穿衣服 | dress up: v. 打扮，装饰；穿上盛装 | dress in: （使）穿…的服装；乔装打扮
